,userid,post,ques,ans,asker,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3,decision
0,aprilpooh15,Q: Fuck Justin bieber. He&#039;s a fucking fag<br>A: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,Fuck Justin bieber. He&#;s a fucking fag, UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,None,Yes,1,Ur a fuckin idiot!,Yes,5,Ur a fuckin idiot,Yes,5,Ur a fuckin idiot, UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good
1,aprilpooh15,Q: Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!<br>A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin,Hello bitch! How&#;s ur day going? Good I hope :) it&#;s beautiful and sunny!, Ohh heyy bitchh!!! its goin good..:D thx 4 askin,None,Yes,1,Hello bitch!,No,0,,No,0,, Ohh heyy bitchh!!! its goin good..:D thx 4 askin
2,aprilpooh15,Q: Hey. Why you such a bitch?<br>A: Why thank yuh!,Hey. Why you such a bitch?, Why thank yuh!,None,Yes,3,"""""""why you such a bitch?""""""",Yes,5,"""""""Bitch""""""",Yes,9,Why you such a bitch?, Why thank yuh!
3,aprilpooh15,Q: how old are u ? And how do you know michael?<br>A: Who the hell are yuh!!! And who tha fuck is michael!?,how old are u ? And how do you know michael?, Who the hell are yuh!!! And who tha fuck is michael!?,None,Yes,10,Who the hell are yuh!!! And who tha fuck is michael!?,Yes,2,Who the hell are yuh!!! And who tha fuck is michael!?,No,None,None, Who the hell are yuh!!! And who tha fuck is michael!?
4,aprilpooh15,Q: love youu sexy thang(;<br>A: Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha,love youu sexy thang(;, Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha,None,Yes,1,Sexy bitch,No,0,,No,0,, Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha
5,aprilpooh15,Q: What was your favorite toy to play with as a child?<br>A: Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,What was your favorite toy to play with as a child?, Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,None,Yes,5,"""""""maybe it was ur moms dick""""""",Yes,2,The second poster gave an offensive and insulting answer to a simple question.,No,10,maybe it was ur moms dick, Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!
6,aprilpooh15,Q: who decided to take a shit on your face?<br>A: im not quite sure! ill tell ya when i find out! I promise(:,who decided to take a shit on your face?, im not quite sure! ill tell ya when i find out! I promise(:,None,Yes,2,shit on your face,Yes,2,who decided to take a shit on your face?,Yes,5,shit on your face, im not quite sure! ill tell ya when i find out! I promise(:
7,aprilpooh15,Q: Why do u follow the bandwagon? Formspring. Twitter. What&#039;s next gay Justin beiber.<br>A: Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,Why do u follow the bandwagon? Formspring. Twitter. What&#;s next gay Justin beiber., Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,None,Yes,2,Idiot! Cnt spell!,Yes,4,"""""""gay""""""",Yes,2,"""""""Gay""""""", Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!
8,joielovesu,Q: lmao.. &quot;yurr reall funny skinny ass bitchh&quot;.. hm.. that isn&#039;t really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr<br>A: ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!,lmao.. yurr reall funny skinny ass bitchh.. hm.. that isn&#;t really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr, ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!,None,Yes,8,"""""""bitchh"""" """"talkn shit"""" """"white trash skank"""" """"super ugly"""" """"bitch"""" etc.""",Yes,10,"""""""Q: lmao.. """"yurr reall funny skinny ass bitchh"""".. hm.. that isn't really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr A: ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!""""""",Yes,10,Later white trash skank. BITCH!, ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!
9,joielovesu,Q: lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass<br>A: wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh,lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass, wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh,None,Yes,7,"""'fake bitch', 'out of your league', 'ugly ass'""",Yes,10,"""""""Fake bitch"""", """"Ugly ass"""", """"Bitch"""", """"Gett fucked uuppp"""", """"Skinny ass bitchh""""""",Yes,10,"""""""ur still a fake bitch"""" """"go find a real bf"""" """"not someone out of ur league"""" """"lol ugly ass"""" """"scared to get fucked upp"""" """"your realy funny skinny ass bitch""""""", wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh
10,joielovesu,Q: shit talkin bitch<br>A: wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,shit talkin bitch, wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,None,Yes,3,shit talkin bitch,Yes,2,shit talkin bitch & wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee puss,Yes,3,"""""""shit talking bitch"""", """"tlkin all thiis shitt"""", """"whooss thee pussy""""""", wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy
11,joielovesu,Q: still a bitch :]<br>A: oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!,still a bitch :], oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!,None,Yes,5,still a bitch :],Yes,5,"""thattss tlking shittt, bitch""",Yes,7,still a bitch. talking shit., oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!
12,joielovesu,Q: Suck it<br>A: ahaha all readyy h,Suck it, ahaha all readyy h,None,Yes,2,Suck it,No,0,,Yes,1,"""""""Suck it""""""", ahaha all readyy h
13,joielovesu,Q: whyy aree youu suchh aa faggottt(:<br>A: ahahaha i noo,whyy aree youu suchh aa faggottt(:, ahahaha i noo,None,Yes,8,"""""""Fagot""""""",Yes,3,"""""""whyy aree youu suchh aa faggottt""""""",Yes,2,"""""""faggottt""""""", ahahaha i noo
14,joielovesu,Q: your ugly.<br>A: oohhh well thanksss yuuur soo,your ugly., oohhh well thanksss yuuur soo,None,Yes,3,ugly,Yes,7,your ugly,Yes,8,"""""""your ugly""""""", oohhh well thanksss yuuur soo
15,moonbeemashlee,Q: &quot;I have one for your information&quot; WTF. That&#039;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.<br>A: BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK,I have one for your information WTF. That&#;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch., BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK,courtneyruiz,Yes,2,"""You best think twice before you try to steal my stuff, bitch. A: BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK""",Yes,4,"""You best think twice before you try to steal my stuff, bitch  dumb fuck""",Yes,10,"""""""Bitch"""", """"Dumb fuck"""".""", BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK
16,moonbeemashlee,Q: &quot;Show your face Anonymous&quot; WTF?! You make no sense you fake ugly bitch<br>A: i never said i did,Show your face Anonymous WTF?! You make no sense you fake ugly bitch, i never said i did,courtneyruiz,Yes,4,"""""""Show your face Anonymous"""" WTF?! You make no sense you fake ugly bitch""",Yes,3,You make no sense you fake ugly bitch,Yes,1,you fake ugly bitch, i never said i did
17,moonbeemashlee,Q: (: Stop hating on my page  kthx.<br>A: why would i wanna hate on you?,(: Stop hating on my page  kthx., why would i wanna hate on you?,None,Yes,3,"""Stop hating on my page, kthx""",No,0,,No,0,, why would i wanna hate on you?
18,moonbeemashlee,Q: ..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3<br>A: i can say more  IM NOT FAKE,..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<, i can say more  IM NOT FAKE,brittxxxvanity,Yes,6,your fake everyone knows it,Yes,3,you're fake and everyone knows it,Yes,2,your fake, i can say more  IM NOT FAKE
19,moonbeemashlee,Q: :] im sorry  im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental  i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw NICE COMEBACK!<br>A: I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too,:] im sorry  im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental  i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw NICE COMEBACK!, I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too,brittxxxvanity,Yes,4,Be your damn self; I'm not fucking mental; you need to stfu and get a life; your comebacks suck too,Yes,5,The whole post,Yes,8,. i think you need to stfu and get a damn life instead of beng on here and faking some girl, I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too
